165 Q0 ATS.940123.0047 1 -6.70727 indri
165 Q0 LEMONDE95-002937 2 -6.86972 indri
165 Q0 LEMONDE94-002804-19940125 3 -6.96107 indri
165 Q0 LEMONDE95-034319 4 -8.92204 indri
165 Q0 ATS.950221.0094 5 -9.1163 indri
165 Q0 LEMONDE95-024057 6 -9.13388 indri
165 Q0 LEMONDE95-021029 7 -9.24657 indri
165 Q0 LEMONDE94-000339-19940603 8 -9.27933 indri
165 Q0 LEMONDE95-041299 9 -9.3048 indri
165 Q0 LEMONDE95-037528 10 -9.32816 indri
165 Q0 ATS.941123.0154 11 -9.3338 indri
165 Q0 LEMONDE94-002334-19941220 12 -9.34427 indri
165 Q0 ATS.941103.0023 13 -9.34777 indri
165 Q0 LEMONDE95-023274 14 -9.38992 indri
165 Q0 LEMONDE95-016380 15 -9.39472 indri
165 Q0 LEMONDE94-003150-19940426 16 -9.42462 indri
